file, fiveregs, tenregs, twentyregs
report1.i, 0.006, 0.006, 0.009
report2.i, 0.005, 0.006, 0.006
report3.i, 0.005, 0.006, 0.005
report5.i, 0.007, 0.006, 0.006
report4.i, 0.006, 0.005, 0.006
report6.i, 0.006, 0.009, 0.006
